"","choice","countries","sanctions"
"1441","Not supported","160 of 192","5%"
"1449","Supported","20 of 192","5%"
"1457","Not supported","80 of 192","20%"
"1465","Not supported","160 of 192","20%"
"1473","Not supported","80 of 192","15%"
"1481","Supported","20 of 192","5%"
"1489","Not supported","160 of 192","5%"
"1497","Not supported","160 of 192","15%"
"1505","Supported","160 of 192","20%"
"1513","Not supported","20 of 192","15%"
"1521","Not supported","160 of 192","5%"
"1529","Not supported","80 of 192","5%"
"1537","Supported","160 of 192","20%"
"1545","Not supported","80 of 192","None"
"1553","Supported","20 of 192","None"
"1561","Not supported","20 of 192","5%"
"1569","Supported","160 of 192","15%"
"1577","Supported","160 of 192","20%"
"1585","Supported","160 of 192","15%"
"1593","Supported","80 of 192","15%"
"1601","Not supported","80 of 192","15%"
"1609","Not supported","80 of 192","None"
"1617","Not supported","80 of 192","15%"
"1625","Supported","160 of 192","20%"
"1633","Not supported","80 of 192","5%"
"1641","Not supported","160 of 192","5%"
"1649","Supported","160 of 192","15%"
"1657","Supported","160 of 192","5%"
"1665","Not supported","80 of 192","None"
"1673","Not supported","20 of 192","15%"
"1681","Not supported","160 of 192","15%"
"1689","Not supported","20 of 192","5%"
"1697","Supported","80 of 192","15%"
"1705","Supported","160 of 192","20%"
"1713","Supported","160 of 192","15%"
"1721","Supported","20 of 192","15%"
"1729","Supported","160 of 192","None"
"1737","Not supported","80 of 192","20%"
"1745","Supported","20 of 192","15%"
"1753","Not supported","160 of 192","None"
"1761","Not supported","20 of 192","5%"
"1769","Supported","80 of 192","None"
"1777","Not supported","160 of 192","5%"
"1785","Not supported","80 of 192","None"
"1793","Supported","160 of 192","None"
"1801","Supported","160 of 192","20%"
"1809","Not supported","160 of 192","20%"
"1817","Not supported","80 of 192","None"
"1825","Not supported","80 of 192","20%"
"1833","Supported","160 of 192","15%"
"1841","Not supported","160 of 192","20%"
"1849","Supported","20 of 192","None"
"1857","Supported","20 of 192","5%"
"1865","Not supported","80 of 192","15%"
"1873","Supported","160 of 192","20%"
"1881","Not supported","20 of 192","None"
"1889","Supported","160 of 192","5%"
"1897","Supported","160 of 192","15%"
"1905","Not supported","160 of 192","5%"
"1913","Supported","160 of 192","15%"
"1921","Supported","80 of 192","None"
"1929","Not supported","160 of 192","20%"
"1937","Supported","80 of 192","20%"
"1945","Not supported","80 of 192","15%"
"1953","Supported","80 of 192","5%"
"1961","Not supported","80 of 192","20%"
"1969","Supported","80 of 192","20%"
"1977","Not supported","20 of 192","15%"
"1985","Supported","160 of 192","15%"
"1993","Supported","20 of 192","20%"
"2001","Supported","80 of 192","5%"
"2009","Supported","160 of 192","15%"
"2017","Supported","80 of 192","None"
"2025","Supported","160 of 192","15%"
"2033","Not supported","20 of 192","5%"
"2041","Not supported","160 of 192","None"
"2049","Supported","160 of 192","5%"
"2057","Supported","20 of 192","20%"
"2065","Not supported","20 of 192","None"
"2073","Not supported","20 of 192","5%"
"2081","Not supported","80 of 192","5%"
"2089","Not supported","160 of 192","None"
"2097","Not supported","80 of 192","5%"
"2105","Not supported","80 of 192","15%"
"2113","Supported","20 of 192","20%"
"2121","Not supported","20 of 192","5%"
"2129","Not supported","160 of 192","None"
"2137","Supported","20 of 192","15%"
"2145","Not supported","20 of 192","None"
"2153","Supported","80 of 192","15%"
"2161","Not supported","20 of 192","20%"
"2169","Not supported","20 of 192","None"
"2177","Not supported","80 of 192","None"
"2185","Supported","20 of 192","15%"
"2193","Supported","80 of 192","20%"
"2201","Supported","80 of 192","None"
"2209","Supported","160 of 192","5%"
"2217","Not supported","160 of 192","None"
"2225","Supported","160 of 192","15%"
"2233","Supported","160 of 192","15%"
