"","choice","countries","sanctions"
"14273","Not supported","160 of 192","None"
"14281","Not supported","20 of 192","5%"
"14289","Supported","80 of 192","15%"
"14297","Not supported","80 of 192","20%"
"14305","Supported","160 of 192","None"
"14313","Not supported","160 of 192","None"
"14321","Supported","20 of 192","None"
"14329","Not supported","80 of 192","15%"
"14337","Not supported","20 of 192","20%"
"14345","Supported","160 of 192","None"
"14353","Not supported","160 of 192","None"
"14361","Not supported","20 of 192","None"
"14369","Not supported","20 of 192","None"
"14377","Not supported","80 of 192","None"
"14385","Not supported","20 of 192","15%"
"14393","Not supported","20 of 192","5%"
"14401","Supported","160 of 192","5%"
"14409","Not supported","80 of 192","20%"
"14417","Not supported","160 of 192","None"
"14425","Supported","20 of 192","None"
"14433","Not supported","80 of 192","5%"
"14441","Supported","80 of 192","20%"
"14449","Not supported","20 of 192","15%"
"14457","Not supported","20 of 192","15%"
"14465","Supported","20 of 192","None"
"14473","Not supported","80 of 192","20%"
"14481","Supported","160 of 192","5%"
"14489","Not supported","160 of 192","15%"
"14497","Not supported","80 of 192","15%"
"14505","Supported","80 of 192","None"
"14513","Not supported","20 of 192","None"
"14521","Supported","160 of 192","20%"
"14529","Supported","80 of 192","None"
"14537","Supported","80 of 192","None"
"14545","Supported","160 of 192","5%"
"14553","Not supported","160 of 192","None"
"14561","Supported","80 of 192","5%"
"14569","Not supported","160 of 192","20%"
"14577","Supported","20 of 192","15%"
"14585","Supported","160 of 192","5%"
"14593","Not supported","20 of 192","20%"
"14601","Not supported","20 of 192","20%"
"14609","Not supported","160 of 192","5%"
"14617","Not supported","80 of 192","15%"
"14625","Not supported","160 of 192","15%"
"14633","Not supported","160 of 192","5%"
"14641","Supported","160 of 192","5%"
"14649","Supported","20 of 192","5%"
"14657","Not supported","160 of 192","5%"
"14665","Supported","80 of 192","20%"
"14673","Supported","20 of 192","None"
"14681","Not supported","80 of 192","20%"
"14689","Not supported","80 of 192","5%"
"14697","Not supported","20 of 192","5%"
"14705","Supported","160 of 192","5%"
"14713","Not supported","160 of 192","5%"
"14721","Supported","80 of 192","None"
"14729","Supported","80 of 192","15%"
"14737","Supported","20 of 192","20%"
"14745","Not supported","80 of 192","20%"
"14753","Supported","160 of 192","None"
"14761","Supported","20 of 192","20%"
"14769","Not supported","80 of 192","20%"
"14777","Not supported","20 of 192","None"
"14785","Not supported","20 of 192","5%"
"14793","Supported","80 of 192","20%"
"14801","Supported","160 of 192","20%"
"14809","Not supported","20 of 192","15%"
"14817","Not supported","20 of 192","20%"
"14825","Supported","80 of 192","None"
"14833","Not supported","20 of 192","20%"
"14841","Supported","160 of 192","5%"
"14849","Supported","80 of 192","15%"
"14857","Not supported","20 of 192","5%"
"14865","Supported","160 of 192","15%"
"14873","Supported","20 of 192","5%"
"14881","Not supported","160 of 192","15%"
"14889","Not supported","20 of 192","15%"
"14897","Supported","80 of 192","20%"
"14905","Not supported","20 of 192","5%"
"14913","Supported","160 of 192","15%"
"14921","Not supported","80 of 192","15%"
"14929","Supported","160 of 192","20%"
"14937","Not supported","160 of 192","5%"
"14945","Not supported","80 of 192","20%"
"14953","Not supported","80 of 192","5%"
"14961","Supported","160 of 192","5%"
"14969","Not supported","80 of 192","None"
"14977","Not supported","80 of 192","5%"
"14985","Not supported","80 of 192","20%"
"14993","Supported","160 of 192","15%"
"15001","Not supported","20 of 192","20%"
"15009","Not supported","20 of 192","5%"
"15017","Not supported","20 of 192","20%"
"15025","Supported","20 of 192","5%"
"15033","Supported","20 of 192","15%"
"15041","Supported","80 of 192","15%"
"15049","Not supported","80 of 192","15%"
"15057","Supported","80 of 192","20%"
"15065","Not supported","20 of 192","5%"
"15073","Not supported","80 of 192","15%"
"15081","Not supported","160 of 192","20%"
"15089","Not supported","80 of 192","15%"
"15097","Supported","160 of 192","20%"
"15105","Not supported","160 of 192","5%"
"15113","Supported","160 of 192","15%"
"15121","Supported","160 of 192","5%"
"15129","Supported","80 of 192","5%"
"15137","Supported","80 of 192","20%"
"15145","Not supported","160 of 192","20%"
"15153","Supported","20 of 192","5%"
"15161","Not supported","80 of 192","20%"
"15169","Not supported","80 of 192","5%"
"15177","Not supported","80 of 192","20%"
"15185","Supported","160 of 192","5%"
"15193","Not supported","160 of 192","None"
"15201","Not supported","160 of 192","None"
"15209","Supported","80 of 192","None"
"15217","Supported","160 of 192","20%"
"15225","Not supported","80 of 192","20%"
"15233","Supported","160 of 192","5%"
"15241","Not supported","80 of 192","20%"
"15249","Not supported","20 of 192","15%"
"15257","Supported","160 of 192","None"
"15265","Supported","160 of 192","5%"
"15273","Supported","160 of 192","5%"
"15281","Not supported","20 of 192","None"
"15289","Supported","20 of 192","20%"
"15297","Supported","20 of 192","20%"
"15305","Not supported","80 of 192","None"
"15313","Not supported","160 of 192","5%"
"15321","Not supported","20 of 192","20%"
"15329","Not supported","20 of 192","20%"
"15337","Not supported","80 of 192","15%"
"15345","Supported","20 of 192","5%"
"15353","Not supported","160 of 192","None"
"15361","Supported","20 of 192","None"
"15369","Supported","80 of 192","15%"
"15377","Not supported","160 of 192","None"
"15385","Not supported","160 of 192","None"
"15393","Supported","20 of 192","15%"
"15401","Not supported","20 of 192","None"
"15409","Supported","80 of 192","20%"
"15417","Not supported","80 of 192","None"
"15425","Supported","20 of 192","None"
"15433","Supported","20 of 192","15%"
"15441","Not supported","20 of 192","5%"
"15449","Not supported","20 of 192","15%"
"15457","Not supported","80 of 192","5%"
"15465","Not supported","80 of 192","None"
"15473","Not supported","160 of 192","None"
"15481","Supported","80 of 192","5%"
"15489","Supported","160 of 192","None"
"15497","Supported","20 of 192","15%"
"15505","Not supported","160 of 192","15%"
"15513","Not supported","20 of 192","20%"
"15521","Supported","80 of 192","None"
"15529","Not supported","80 of 192","20%"
"15537","Not supported","80 of 192","15%"
"15545","Supported","160 of 192","None"
"15553","Not supported","80 of 192","5%"
"15561","Supported","160 of 192","15%"
"15569","Not supported","80 of 192","20%"
"15577","Not supported","20 of 192","None"
"15585","Supported","20 of 192","5%"
"15593","Supported","80 of 192","15%"
"15601","Supported","80 of 192","15%"
"15609","Supported","20 of 192","5%"
"15617","Not supported","20 of 192","None"
"15625","Supported","20 of 192","5%"
"15633","Supported","160 of 192","5%"
"15641","Not supported","160 of 192","None"
"15649","Not supported","160 of 192","5%"
"15657","Supported","20 of 192","None"
"15665","Not supported","20 of 192","None"
"15673","Supported","80 of 192","20%"
"15681","Not supported","20 of 192","15%"
"15689","Not supported","20 of 192","None"
"15697","Supported","160 of 192","15%"
"15705","Not supported","20 of 192","15%"
"15713","Supported","160 of 192","5%"
"15721","Supported","80 of 192","20%"
"15729","Not supported","80 of 192","5%"
"15737","Supported","160 of 192","20%"
"15745","Supported","80 of 192","None"
"15753","Not supported","80 of 192","None"
"15761","Supported","20 of 192","20%"
"15769","Not supported","80 of 192","15%"
"15777","Supported","160 of 192","15%"
"15785","Supported","160 of 192","None"
"15793","Supported","80 of 192","15%"
"15801","Supported","20 of 192","5%"
"15809","Not supported","160 of 192","15%"
"15817","Not supported","20 of 192","None"
"15825","Not supported","80 of 192","None"
"15833","Not supported","160 of 192","15%"
"15841","Not supported","20 of 192","15%"
"15849","Not supported","160 of 192","None"
"15857","Supported","160 of 192","15%"
"15865","Not supported","80 of 192","20%"
"15873","Not supported","20 of 192","None"
"15881","Supported","20 of 192","None"
"15889","Not supported","20 of 192","5%"
"15897","Supported","20 of 192","20%"
"15905","Supported","20 of 192","5%"
"15913","Supported","80 of 192","None"
"15921","Not supported","160 of 192","5%"
"15929","Not supported","20 of 192","5%"
"15937","Not supported","20 of 192","20%"
"15945","Supported","20 of 192","15%"
"15953","Supported","160 of 192","None"
"15961","Not supported","160 of 192","5%"
"15969","Supported","20 of 192","5%"
"15977","Not supported","160 of 192","20%"
"15985","Not supported","80 of 192","5%"
"15993","Not supported","20 of 192","20%"
"16001","Supported","20 of 192","15%"
"16009","Supported","160 of 192","5%"
"16017","Supported","20 of 192","None"
"16025","Not supported","20 of 192","15%"
"16033","Supported","160 of 192","20%"
"16041","Supported","80 of 192","5%"
"16049","Supported","80 of 192","15%"
"16057","Not supported","20 of 192","None"
"16065","Supported","160 of 192","None"
"16073","Supported","20 of 192","15%"
"16081","Supported","80 of 192","None"
"16089","Not supported","160 of 192","20%"
"16097","Supported","160 of 192","15%"
"16105","Supported","160 of 192","5%"
"16113","Supported","80 of 192","15%"
"16121","Not supported","20 of 192","5%"
"16129","Not supported","80 of 192","20%"
"16137","Supported","20 of 192","None"
"16145","Not supported","80 of 192","20%"
"16153","Supported","160 of 192","20%"
"16161","Not supported","20 of 192","15%"
"16169","Supported","20 of 192","None"
"16177","Not supported","20 of 192","None"
"16185","Supported","20 of 192","15%"
"16193","Not supported","20 of 192","20%"
"16201","Not supported","20 of 192","5%"
"16209","Supported","160 of 192","5%"
"16217","Supported","80 of 192","20%"
"16225","Supported","20 of 192","5%"
"16233","Supported","20 of 192","5%"
"16241","Supported","20 of 192","15%"
"16249","Not supported","80 of 192","5%"
"16257","Not supported","20 of 192","20%"
"16265","Not supported","20 of 192","5%"
"16273","Not supported","160 of 192","None"
"16281","Supported","80 of 192","5%"
"16289","Supported","80 of 192","5%"
"16297","Not supported","20 of 192","None"
"16305","Not supported","160 of 192","5%"
"16313","Not supported","80 of 192","None"
"16321","Not supported","80 of 192","None"
"16329","Not supported","160 of 192","20%"
"16337","Not supported","80 of 192","5%"
"16345","Supported","160 of 192","5%"
"16353","Supported","80 of 192","15%"
"16361","Supported","160 of 192","15%"
"16369","Not supported","80 of 192","15%"
"16377","Not supported","160 of 192","20%"
"16385","Not supported","80 of 192","15%"
"16393","Supported","160 of 192","None"
"16401","Not supported","160 of 192","5%"
"16409","Supported","160 of 192","20%"
"16417","Supported","80 of 192","15%"
"16425","Not supported","20 of 192","5%"
"16433","Not supported","80 of 192","20%"
"16441","Supported","80 of 192","None"
"16449","Not supported","80 of 192","20%"
"16457","Supported","20 of 192","15%"
"16465","Supported","160 of 192","15%"
"16473","Supported","80 of 192","None"
"16481","Supported","80 of 192","20%"
"16489","Supported","80 of 192","15%"
"16497","Supported","80 of 192","15%"
"16505","Not supported","20 of 192","20%"
"16513","Supported","80 of 192","20%"
"16521","Supported","160 of 192","5%"
"16529","Not supported","80 of 192","5%"
"16537","Not supported","80 of 192","5%"
"16545","Supported","80 of 192","5%"
"16553","Supported","80 of 192","None"
"16561","Supported","20 of 192","5%"
"16569","Supported","80 of 192","5%"
"16577","Not supported","160 of 192","20%"
"16585","Not supported","20 of 192","20%"
"16593","Not supported","160 of 192","15%"
"16601","Not supported","20 of 192","5%"
"16609","Not supported","20 of 192","5%"
"16617","Supported","20 of 192","None"
"16625","Not supported","20 of 192","15%"
"16633","Supported","160 of 192","None"
"16641","Supported","80 of 192","15%"
"16649","Supported","80 of 192","None"
"16657","Supported","80 of 192","None"
"16665","Supported","80 of 192","15%"
"16673","Not supported","20 of 192","15%"
"16681","Supported","160 of 192","20%"
"16689","Not supported","20 of 192","5%"
"16697","Not supported","160 of 192","15%"
"16705","Not supported","20 of 192","None"
"16713","Not supported","160 of 192","5%"
"16721","Not supported","20 of 192","None"
"16729","Supported","160 of 192","5%"
"16737","Not supported","20 of 192","None"
"16745","Supported","160 of 192","None"
"16753","Not supported","20 of 192","5%"
"16761","Supported","80 of 192","5%"
"16769","Supported","80 of 192","15%"
"16777","Supported","160 of 192","15%"
"16785","Not supported","160 of 192","None"
"16793","Not supported","20 of 192","20%"
"16801","Supported","160 of 192","20%"
"16809","Not supported","20 of 192","None"
"16817","Not supported","20 of 192","5%"
"16825","Supported","20 of 192","None"
"16833","Supported","160 of 192","15%"
"16841","Not supported","160 of 192","15%"
"16849","Supported","20 of 192","None"
"16857","Not supported","80 of 192","20%"
"16865","Supported","80 of 192","None"
"16873","Not supported","80 of 192","20%"
"16881","Not supported","20 of 192","15%"
"16889","Supported","80 of 192","15%"
"16897","Not supported","160 of 192","None"
"16905","Supported","20 of 192","20%"
"16913","Not supported","80 of 192","15%"
"16921","Not supported","20 of 192","5%"
"16929","Supported","160 of 192","20%"
"16937","Not supported","160 of 192","None"
"16945","Supported","160 of 192","None"
"16953","Not supported","80 of 192","None"
"16961","Supported","80 of 192","5%"
"16969","Not supported","20 of 192","15%"
"16977","Not supported","20 of 192","5%"
"16985","Not supported","20 of 192","5%"
"16993","Supported","20 of 192","5%"
"17001","Not supported","160 of 192","20%"
"17009","Not supported","80 of 192","20%"
"17017","Supported","20 of 192","15%"
"17025","Supported","160 of 192","None"
"17033","Not supported","80 of 192","20%"
"17041","Supported","20 of 192","5%"
"17049","Not supported","20 of 192","15%"
"17057","Not supported","20 of 192","None"
"17065","Supported","80 of 192","None"
"17073","Supported","20 of 192","15%"
"17081","Supported","80 of 192","20%"
"17089","Not supported","80 of 192","None"
"17097","Not supported","20 of 192","15%"
"17105","Not supported","160 of 192","20%"
"17113","Not supported","160 of 192","20%"
"17121","Supported","160 of 192","20%"
"17129","Not supported","80 of 192","None"
"17137","Not supported","80 of 192","15%"
"17145","Not supported","80 of 192","None"
"17153","Supported","160 of 192","5%"
"17161","Supported","80 of 192","15%"
"17169","Not supported","20 of 192","5%"
"17177","Not supported","20 of 192","5%"
"17185","Not supported","80 of 192","20%"
"17193","Supported","80 of 192","None"
"17201","Not supported","160 of 192","None"
"17209","Supported","160 of 192","15%"
"17217","Not supported","160 of 192","20%"
"17225","Not supported","80 of 192","15%"
"17233","Supported","80 of 192","15%"
"17241","Supported","80 of 192","20%"
"17249","Not supported","80 of 192","5%"
"17257","Not supported","20 of 192","5%"
"17265","Not supported","20 of 192","None"
"17273","Not supported","20 of 192","20%"
"17281","Supported","160 of 192","None"
"17289","Not supported","80 of 192","None"
"17297","Supported","160 of 192","20%"
"17305","Supported","80 of 192","15%"
"17313","Supported","160 of 192","15%"
"17321","Supported","20 of 192","5%"
"17329","Not supported","160 of 192","20%"
"17337","Supported","160 of 192","15%"
"17345","Not supported","80 of 192","None"
"17353","Not supported","80 of 192","20%"
"17361","Supported","20 of 192","None"
"17369","Not supported","80 of 192","20%"
"17377","Supported","20 of 192","15%"
"17385","Not supported","20 of 192","None"
"17393","Not supported","80 of 192","None"
"17401","Supported","20 of 192","15%"
"17409","Supported","160 of 192","None"
"17417","Not supported","20 of 192","20%"
"17425","Supported","20 of 192","20%"
"17433","Supported","160 of 192","20%"
"17441","Supported","20 of 192","None"
"17449","Supported","160 of 192","15%"
"17457","Supported","80 of 192","15%"
"17465","Supported","20 of 192","None"
"17473","Supported","160 of 192","15%"
"17481","Not supported","80 of 192","5%"
"17489","Not supported","20 of 192","5%"
"17497","Supported","20 of 192","5%"
"17505","Not supported","80 of 192","15%"
"17513","Not supported","160 of 192","20%"
"17521","Supported","20 of 192","5%"
"17529","Supported","20 of 192","5%"
"17537","Not supported","20 of 192","5%"
"17545","Not supported","160 of 192","20%"
"17553","Not supported","20 of 192","None"
"17561","Not supported","80 of 192","20%"
"17569","Not supported","20 of 192","5%"
"17577","Not supported","160 of 192","15%"
"17585","Supported","80 of 192","20%"
"17593","Not supported","20 of 192","None"
"17601","Supported","80 of 192","15%"
"17609","Not supported","20 of 192","20%"
"17617","Not supported","80 of 192","None"
"17625","Not supported","20 of 192","None"
"17633","Not supported","160 of 192","None"
"17641","Supported","160 of 192","5%"
"17649","Supported","160 of 192","15%"
"17657","Supported","20 of 192","None"
"17665","Not supported","20 of 192","5%"
"17673","Supported","160 of 192","15%"
"17681","Supported","80 of 192","None"
"17689","Not supported","20 of 192","20%"
"17697","Not supported","20 of 192","15%"
"17705","Supported","160 of 192","15%"
"17713","Supported","160 of 192","15%"
"17721","Supported","160 of 192","5%"
"17729","Not supported","160 of 192","None"
"17737","Supported","160 of 192","15%"
"17745","Not supported","80 of 192","5%"
"17753","Not supported","160 of 192","5%"
"17761","Supported","20 of 192","None"
"17769","Supported","20 of 192","15%"
"17777","Supported","80 of 192","5%"
"17785","Not supported","20 of 192","20%"
"17793","Not supported","20 of 192","15%"
"17801","Supported","160 of 192","15%"
"17809","Supported","80 of 192","None"
"17817","Not supported","80 of 192","5%"
"17825","Supported","160 of 192","5%"
"17833","Not supported","20 of 192","None"
"17841","Not supported","80 of 192","15%"
"17849","Supported","160 of 192","15%"
"17857","Supported","20 of 192","15%"
"17865","Not supported","20 of 192","15%"
"17873","Supported","80 of 192","None"
"17881","Not supported","80 of 192","5%"
"17889","Supported","20 of 192","20%"
"17897","Not supported","160 of 192","None"
"17905","Not supported","80 of 192","None"
"17913","Not supported","20 of 192","15%"
"17921","Supported","20 of 192","5%"
"17929","Supported","20 of 192","20%"
"17937","Not supported","160 of 192","None"
"17945","Not supported","160 of 192","15%"
"17953","Supported","80 of 192","15%"
"17961","Supported","20 of 192","20%"
"17969","Supported","80 of 192","None"
"17977","Not supported","80 of 192","5%"
"17985","Supported","80 of 192","15%"
"17993","Not supported","160 of 192","None"
"18001","Not supported","20 of 192","None"
"18009","Supported","160 of 192","20%"
"18017","Supported","160 of 192","15%"
"18025","Not supported","20 of 192","5%"
"18033","Supported","80 of 192","20%"
"18041","Supported","160 of 192","20%"
"18049","Not supported","160 of 192","None"
"18057","Supported","160 of 192","None"
"18065","Supported","20 of 192","None"
"18073","Not supported","160 of 192","20%"
"18081","Not supported","160 of 192","15%"
"18089","Supported","80 of 192","5%"
"18097","Not supported","80 of 192","15%"
"18105","Supported","20 of 192","None"
"18113","Supported","20 of 192","15%"
"18121","Supported","160 of 192","None"
"18129","Not supported","160 of 192","15%"
"18137","Supported","80 of 192","5%"
"18145","Supported","80 of 192","20%"
"18153","Not supported","20 of 192","None"
"18161","Not supported","20 of 192","None"
"18169","Not supported","80 of 192","15%"
"18177","Supported","160 of 192","20%"
"18185","Not supported","160 of 192","15%"
"18193","Supported","20 of 192","5%"
"18201","Not supported","160 of 192","20%"
"18209","Supported","80 of 192","5%"
"18217","Not supported","20 of 192","20%"
"18225","Not supported","160 of 192","None"
"18233","Supported","160 of 192","None"
"18241","Supported","160 of 192","20%"
"18249","Not supported","20 of 192","20%"
"18257","Supported","80 of 192","20%"
"18265","Not supported","20 of 192","15%"
"18273","Not supported","80 of 192","None"
"18281","Not supported","20 of 192","15%"
"18289","Not supported","20 of 192","20%"
"18297","Not supported","80 of 192","20%"
"18305","Supported","80 of 192","20%"
"18313","Not supported","80 of 192","None"
"18321","Supported","80 of 192","5%"
"18329","Supported","80 of 192","20%"
"18337","Not supported","160 of 192","5%"
"18345","Not supported","80 of 192","None"
"18353","Not supported","80 of 192","15%"
"18361","Supported","20 of 192","20%"
"18369","Not supported","80 of 192","20%"
"18377","Not supported","20 of 192","None"
"18385","Not supported","80 of 192","20%"
"18393","Supported","20 of 192","None"
"18401","Not supported","80 of 192","15%"
"18409","Supported","160 of 192","None"
"18417","Not supported","20 of 192","15%"
"18425","Supported","160 of 192","None"
"18433","Not supported","160 of 192","20%"
"18441","Supported","160 of 192","20%"
"18449","Supported","80 of 192","20%"
"18457","Not supported","160 of 192","None"
"18465","Supported","160 of 192","None"
"18473","Not supported","20 of 192","15%"
"18481","Supported","160 of 192","20%"
"18489","Not supported","80 of 192","20%"
"18497","Not supported","80 of 192","None"
"18505","Supported","80 of 192","None"
"18513","Supported","160 of 192","5%"
"18521","Not supported","160 of 192","15%"
"18529","Not supported","20 of 192","20%"
"18537","Supported","20 of 192","15%"
"18545","Supported","20 of 192","5%"
"18553","Supported","160 of 192","20%"
"18561","Supported","160 of 192","15%"
"18569","Supported","160 of 192","None"
"18577","Supported","160 of 192","15%"
"18585","Supported","20 of 192","5%"
"18593","Not supported","160 of 192","5%"
"18601","Not supported","80 of 192","20%"
"18609","Supported","160 of 192","20%"
"18617","Not supported","80 of 192","20%"
"18625","Not supported","80 of 192","None"
"18633","Not supported","20 of 192","20%"
"18641","Not supported","160 of 192","5%"
"18649","Supported","160 of 192","5%"
"18657","Supported","160 of 192","20%"
"18665","Supported","80 of 192","20%"
"18673","Not supported","160 of 192","15%"
"18681","Supported","80 of 192","20%"
"18689","Supported","160 of 192","None"
"18697","Supported","80 of 192","20%"
"18705","Not supported","20 of 192","5%"
"18713","Not supported","160 of 192","None"
"18721","Supported","160 of 192","5%"
"18729","Not supported","20 of 192","None"
"18737","Not supported","20 of 192","5%"
"18745","Not supported","160 of 192","5%"
"18753","Not supported","80 of 192","20%"
"18761","Not supported","20 of 192","None"
"18769","Supported","20 of 192","None"
"18777","Supported","80 of 192","None"
"18785","Supported","20 of 192","None"
"18793","Supported","80 of 192","15%"
"18801","Not supported","20 of 192","20%"
"18809","Not supported","20 of 192","5%"
"18817","Not supported","160 of 192","20%"
"18825","Not supported","20 of 192","None"
"18833","Not supported","20 of 192","None"
"18841","Not supported","80 of 192","20%"
"18849","Supported","80 of 192","20%"
"18857","Not supported","80 of 192","20%"
"18865","Supported","80 of 192","5%"
"18873","Supported","80 of 192","5%"
"18881","Not supported","80 of 192","5%"
"18889","Not supported","20 of 192","5%"
"18897","Supported","20 of 192","None"
"18905","Supported","80 of 192","20%"
"18913","Not supported","160 of 192","None"
"18921","Supported","80 of 192","None"
"18929","Supported","20 of 192","None"
"18937","Supported","20 of 192","15%"
"18945","Not supported","160 of 192","None"
"18953","Not supported","80 of 192","20%"
"18961","Not supported","160 of 192","None"
"18969","Supported","160 of 192","20%"
"18977","Not supported","160 of 192","5%"
"18985","Supported","160 of 192","15%"
"18993","Not supported","160 of 192","20%"
"19001","Supported","160 of 192","15%"
"19009","Supported","160 of 192","15%"
"19017","Not supported","80 of 192","None"
"19025","Not supported","160 of 192","None"
"19033","Not supported","80 of 192","15%"
"19041","Not supported","80 of 192","20%"
"19049","Not supported","20 of 192","None"
"19057","Supported","160 of 192","15%"
"19065","Supported","80 of 192","None"
"19073","Not supported","80 of 192","20%"
"19081","Not supported","80 of 192","15%"
"19089","Not supported","80 of 192","None"
"19097","Not supported","20 of 192","20%"
"19105","Not supported","20 of 192","20%"
"19113","Supported","160 of 192","5%"
"19121","Supported","80 of 192","None"
"19129","Supported","160 of 192","None"
"19137","Supported","160 of 192","15%"
"19145","Not supported","160 of 192","20%"
"19153","Not supported","80 of 192","5%"
"19161","Supported","20 of 192","20%"
"19169","Supported","80 of 192","None"
"19177","Not supported","160 of 192","20%"
"19185","Not supported","20 of 192","15%"
"19193","Supported","160 of 192","None"
"19201","Supported","160 of 192","15%"
"19209","Not supported","20 of 192","20%"
"19217","Not supported","80 of 192","5%"
"19225","Not supported","160 of 192","5%"
"19233","Not supported","80 of 192","15%"
"19241","Not supported","20 of 192","5%"
"19249","Not supported","80 of 192","None"
"19257","Supported","80 of 192","None"
"19265","Not supported","20 of 192","5%"
"19273","Supported","160 of 192","None"
"19281","Supported","160 of 192","20%"
"19289","Not supported","20 of 192","20%"
"19297","Not supported","160 of 192","20%"
"19305","Supported","160 of 192","None"
"19313","Not supported","160 of 192","None"
"19321","Supported","80 of 192","20%"
"19329","Supported","80 of 192","5%"
"19337","Supported","20 of 192","15%"
"19345","Supported","80 of 192","None"
"19353","Supported","20 of 192","None"
"19361","Not supported","80 of 192","None"
"19369","Not supported","20 of 192","20%"
"19377","Supported","160 of 192","20%"
"19385","Not supported","80 of 192","None"
"19393","Supported","20 of 192","5%"
"19401","Not supported","160 of 192","5%"
"19409","Supported","20 of 192","15%"
"19417","Supported","20 of 192","15%"
"19425","Supported","160 of 192","20%"
"19433","Not supported","20 of 192","20%"
"19441","Supported","80 of 192","5%"
"19449","Supported","80 of 192","None"
"19457","Supported","80 of 192","5%"
"19465","Supported","160 of 192","20%"
"19473","Supported","80 of 192","15%"
"19481","Supported","160 of 192","20%"
"19489","Not supported","160 of 192","None"
"19497","Supported","160 of 192","15%"
"19505","Supported","80 of 192","5%"
"19513","Supported","160 of 192","None"
"19521","Not supported","20 of 192","15%"
"19529","Not supported","20 of 192","5%"
"19537","Supported","20 of 192","5%"
"19545","Not supported","20 of 192","None"
"19553","Supported","20 of 192","5%"
"19561","Supported","20 of 192","15%"
"19569","Not supported","20 of 192","20%"
"19577","Supported","80 of 192","20%"
"19585","Supported","160 of 192","None"
"19593","Supported","20 of 192","5%"
"19601","Supported","160 of 192","5%"
"19609","Supported","80 of 192","15%"
"19617","Supported","80 of 192","15%"
"19625","Supported","20 of 192","None"
"19633","Not supported","160 of 192","5%"
"19641","Not supported","160 of 192","20%"
"19649","Not supported","160 of 192","20%"
"19657","Not supported","20 of 192","20%"
"19665","Not supported","80 of 192","5%"
"19673","Not supported","80 of 192","None"
"19681","Not supported","80 of 192","15%"
"19689","Not supported","20 of 192","15%"
"19697","Supported","160 of 192","15%"
"19705","Supported","160 of 192","None"
"19713","Not supported","80 of 192","20%"
"19721","Not supported","160 of 192","None"
"19729","Not supported","80 of 192","15%"
"19737","Not supported","80 of 192","20%"
"19745","Not supported","160 of 192","15%"
"19753","Supported","160 of 192","5%"
"19761","Not supported","80 of 192","5%"
"19769","Not supported","80 of 192","15%"
"19777","Supported","80 of 192","5%"
"19785","Not supported","80 of 192","5%"
"19793","Supported","80 of 192","None"
"19801","Not supported","20 of 192","20%"
"19809","Supported","160 of 192","20%"
"19817","Supported","20 of 192","20%"
"19825","Not supported","20 of 192","20%"
"19833","Supported","160 of 192","None"
"19841","Not supported","20 of 192","15%"
"19849","Not supported","80 of 192","5%"
"19857","Not supported","80 of 192","20%"
"19865","Not supported","160 of 192","None"
"19873","Not supported","160 of 192","15%"
"19881","Not supported","160 of 192","20%"
"19889","Not supported","160 of 192","15%"
"19897","Supported","160 of 192","5%"
"19905","Supported","20 of 192","20%"
"19913","Not supported","80 of 192","None"
"19921","Not supported","80 of 192","15%"
"19929","Not supported","20 of 192","20%"
"19937","Supported","20 of 192","20%"
"19945","Supported","20 of 192","20%"
"19953","Not supported","80 of 192","15%"
"19961","Supported","80 of 192","15%"
"19969","Supported","80 of 192","None"
"19977","Supported","80 of 192","5%"
"19985","Not supported","160 of 192","20%"
"19993","Supported","80 of 192","None"
"20001","Supported","20 of 192","5%"
"20009","Supported","160 of 192","5%"
"20017","Supported","160 of 192","5%"
"20025","Not supported","20 of 192","None"
"20033","Supported","20 of 192","20%"
"20041","Not supported","80 of 192","15%"
"20049","Supported","80 of 192","20%"
"20057","Not supported","80 of 192","None"
"20065","Not supported","160 of 192","20%"
"20073","Supported","80 of 192","5%"
"20081","Supported","80 of 192","20%"
"20089","Supported","160 of 192","5%"
"20097","Not supported","160 of 192","None"
"20105","Not supported","160 of 192","5%"
"20113","Not supported","20 of 192","5%"
"20121","Supported","20 of 192","20%"
"20129","Not supported","80 of 192","20%"
"20137","Supported","20 of 192","None"
"20145","Supported","80 of 192","20%"
"20153","Not supported","160 of 192","None"
"20161","Not supported","20 of 192","None"
"20169","Not supported","160 of 192","None"
"20177","Supported","160 of 192","None"
"20185","Supported","160 of 192","5%"
"20193","Not supported","20 of 192","15%"
"20201","Supported","80 of 192","20%"
"20209","Not supported","160 of 192","5%"
"20217","Not supported","80 of 192","5%"
"20225","Not supported","160 of 192","None"
"20233","Not supported","160 of 192","None"
"20241","Supported","160 of 192","15%"
"20249","Not supported","160 of 192","5%"
"20257","Not supported","160 of 192","20%"
"20265","Not supported","80 of 192","20%"
"20273","Supported","160 of 192","None"
"20281","Not supported","20 of 192","None"
"20289","Supported","80 of 192","5%"
"20297","Supported","20 of 192","None"
"20305","Supported","160 of 192","15%"
"20313","Supported","20 of 192","15%"
"20321","Not supported","160 of 192","5%"
"20329","Not supported","160 of 192","20%"
"20337","Supported","20 of 192","None"
"20345","Supported","160 of 192","20%"
"20353","Not supported","20 of 192","15%"
"20361","Supported","80 of 192","20%"
"20369","Not supported","160 of 192","15%"
"20377","Supported","80 of 192","None"
"20385","Not supported","80 of 192","15%"
"20393","Not supported","160 of 192","20%"
